"Data","#BR: Rio de Janeiro"
"2020-03-05 00:00:00",1
"2020-03-06 00:00:00",1
"2020-03-08 00:00:00",1
"2020-03-12 00:00:00",12
"2020-03-15 00:00:00",9
"2020-03-16 00:00:00",1
"2020-03-18 00:00:00",38
"2020-03-19 00:00:00",3
"2020-03-21 00:00:00",53
"2020-03-22 00:00:00",67
"2020-03-23 00:00:00",47
"2020-03-24 00:00:00",72
"2020-03-25 00:00:00",65
"2020-03-26 00:00:00",51
"2020-03-27 00:00:00",72
"2020-03-28 00:00:00",65
"2020-03-29 00:00:00",42
"2020-03-30 00:00:00",57
"2020-03-31 00:00:00",51
"2020-04-01 00:00:00",124
"2020-04-02 00:00:00",160
"2020-04-03 00:00:00",82
"2020-04-04 00:00:00",172
"2020-04-05 00:00:00",148
"2020-04-06 00:00:00",67
"2020-04-07 00:00:00",227
"2020-04-08 00:00:00",250
"2020-04-09 00:00:00",278
"2020-04-10 00:00:00",248
"2020-04-11 00:00:00",143
"2020-04-12 00:00:00",248
"2020-04-13 00:00:00",366
"2020-04-14 00:00:00",189
"2020-04-15 00:00:00",333
"2020-04-16 00:00:00",201
"2020-04-17 00:00:00",405
"2020-04-18 00:00:00",194
"2020-04-19 00:00:00",132
"2020-04-20 00:00:00",224
"2020-04-21 00:00:00",407
"2020-04-22 00:00:00",246
"2020-04-23 00:00:00",620
"2020-04-24 00:00:00",110
"2020-04-25 00:00:00",546
"2020-04-26 00:00:00",283
"2020-04-27 00:00:00",833
"2020-04-28 00:00:00",560
"2020-04-29 00:00:00",365
"2020-04-30 00:00:00",584
"2020-05-01 00:00:00",713
"2020-05-02 00:00:00",380
"2020-05-03 00:00:00",593
"2020-05-04 00:00:00",582
"2020-05-05 00:00:00",670
"2020-05-06 00:00:00",904
"2020-05-07 00:00:00",861
"2020-05-08 00:00:00",1585
"2020-05-09 00:00:00",1188
"2020-05-10 00:00:00",133
"2020-05-11 00:00:00",877
"2020-05-12 00:00:00",547
"2020-05-13 00:00:00",242
"2020-05-14 00:00:00",739
"2020-05-15 00:00:00",520
"2020-05-16 00:00:00",1614
"2020-05-17 00:00:00",637
"2020-05-18 00:00:00",4427
"2020-05-19 00:00:00",1140
"2020-05-20 00:00:00",2567
"2020-05-21 00:00:00",1717
"2020-05-22 00:00:00",1500
"2020-05-23 00:00:00",944
"2020-05-24 00:00:00",3379
"2020-05-25 00:00:00",1386
"2020-05-26 00:00:00",726
"2020-05-27 00:00:00",2374
"2020-05-28 00:00:00",2488
"2020-05-29 00:00:00",3067
"2020-05-30 00:00:00",4467
"2020-05-31 00:00:00",968
"2020-06-01 00:00:00",1142
"2020-06-02 00:00:00",2202
"2020-06-03 00:00:00",2508
"2020-06-04 00:00:00",1692
"2020-06-05 00:00:00",2134
"2020-06-06 00:00:00",1467
"2020-06-07 00:00:00",3223
"2020-06-08 00:00:00",1743
"2020-06-09 00:00:00",3480
"2020-06-10 00:00:00",1394
"2020-06-11 00:00:00",1402
"2020-06-12 00:00:00",2009
"2020-06-13 00:00:00",1052
